Index,DigiKey Part #,Manufacturer Part Number,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,732-5330-ND,61302211121,CONN HEADER VERT 22POS 2.54MM,,6,0,kr13.32000,kr79.92
2,609-4714-ND,DILB20P-223TLF,CONN IC DIP SOCKET 20POS TIN,,6,0,kr6.01000,kr36.06
3,DILB24P-224TLF-ND,DILB24P-224TLF,CONN IC DIP SOCKET 24POS TINLEAD,,3,0,kr6.12000,kr18.36
4,609-4712-ND,DILB14P-223TLF,CONN IC DIP SOCKET 14POS TIN,,3,0,kr5.79000,kr17.37
5,609-5427-ND,DILB18P-223TLF,CONN IC DIP SOCKET 18POS TINLEAD,,3,0,kr4.15000,kr12.45
6,609-4717-ND,DILB8P-223TLF,CONN IC DIP SOCKET 8POS TIN,,3,0,kr3.39000,kr10.17
7,MC7805ACTGOS-ND,MC7805ACTG,IC REG LINEAR 5V 1A TO220AB,,3,0,kr12.89000,kr38.67
8,732-2672-ND,61301021121,CONN HEADER VERT 10POS 2.54MM,,3,0,kr12.01000,kr36.03
9,ED3050-5-ND,ED281DT,CONN IC DIP SOCKET 28POS TIN,,3,0,kr5.13000,kr15.39
10,732-691418320002-ND,691418320002,"3.81 MM TERMINAL BLOCK, 45 ENTR",,3,0,kr13.10000,kr39.30
11,39-D2FC-F-7N(20M)-ND,D2FC-F-7N(20M),SWITCH SNP ACT SPST-NO 0.001A 6V,,2,0,kr6.22000,kr12.44
12,39-D2FC-F-7N(60M)-ND,D2FC-F-7N(60M),SWITCH SNP ACT SPST-NO 0.001A 6V,,2,0,kr8.30000,kr16.60
13,P10843S-ND,EVQ-P0E07K,SWITCH TACTILE SPST-NO 0.05A 30V,,3,0,kr4.04000,kr12.12
14,A120355-ND,1-2199299-5,"40P,DIP SKT,600 CL,LDR,PB FREE",,3,0,kr12.01000,kr36.03
15,732-618009231121-ND,618009231121,CONN D-SUB RCPT 9POS R/A SLDR,,3,0,kr31.23000,kr93.69
16,732-8443-1-ND,865080457015,CAP ALUM 470UF 20% 25V SMD,,4,0,kr10.59000,kr42.36
17,732-8495-1-ND,865080253012,CAP ALUM 470UF 20% 10V SMD,,4,0,kr6.22000,kr24.88
18,732-7620-1-ND,885012107010,CAP CER 10UF 10V X5R 0805,,56,0,kr1.93300,kr108.25
19,311-3614-1-ND,CC0805JRNPO9BN200,CAP CER 20PF 50V C0G/NPO 0805,,50,0,kr0.52640,kr26.32
20,732-8080-1-ND,885012207098,CAP CER 0.1UF 50V X7R 0805,,10,0,kr0.86300,kr8.63
21,732-4986-1-ND,150080VS75000,LED GREEN CLEAR 0805 SMD,,10,0,kr1.97000,kr19.70
22,P330ACT-ND,ERJ-6GEYJ331V,RES SMD 330 OHM 5% 1/8W 0805,,20,0,kr0.42600,kr8.52
23,P10KACT-ND,ERJ-6GEYJ103V,RES SMD 10K OHM 5% 1/8W 0805,,50,0,kr0.27080,kr13.54
24,P120CCT-ND,ERJ-6ENF1200V,RES SMD 120 OHM 1% 1/8W 0805,,10,0,kr0.56800,kr5.68
25,P2.0KACT-ND,ERJ-6GEYJ202V,RES SMD 2K OHM 5% 1/8W 0805,,10,0,kr0.42600,kr4.26
26,P12931SCT-ND,EVQ-Q2B02W,SWITCH TACTILE SPST-NO 0.02A 15V,,4,0,kr2.18000,kr8.72
27,535-10206-1-ND,ABLS-4.9152MHZ-B4-T,CRYSTAL 4.9152MHZ 18PF SMD,,3,0,kr2.73000,kr8.19
28,XC1282CT-ND,ECS-160-20-5PX-TR,CRYSTAL 16.0000MHZ 20PF SMD,,3,0,kr3.60000,kr10.80
29,F5769CT-ND,SP3031-01ETG,TVS DIODE 5VWM 7.5VC SOD882,,10,0,kr1.49600,kr14.96
30,ATMEGA162-16PU-ND,ATMEGA162-16PU,IC MCU 8BIT 16KB FLASH 40DIP,,3,0,kr67.49000,kr202.47
,,,,,,,Subtotal,kr981.88
