***************************************************************************
*
* Pick and place data for SMD on Bottom Layer
*
* Design name is: "byggernnode1"
*
* Date: 6 Nov 2024
*
* Data units = millimeters and Data are space separated
*
***************************************************************************
REFDES  X        Y        ROT      FOOTPRINT                      VALUE                
---------------------------------------------------------------------------
D1      156.210  163.830  270.000  SP303101ETG                    SP3031-01ETG         
D2      180.340  162.560  90.000   SP303101ETG                    SP3031-01ETG         
C33     132.080  215.900  270.000  CAPC2012X145N                  10u                  
C32     148.590  224.790  90.000   CAPC2012X145N                  10u                  
C17     163.830  220.980  180.000  CAPC2012X145N                  10u                  
C18     163.830  218.440  180.000  CAPC2012X145N                  10u                  
C16     163.830  215.900  180.000  CAPC2012X145N                  10u                  
C5      170.180  234.950  90.000   CAPC2012X145N                  10u                  
C6      171.450  227.330  0.000    CAPC2012X145N                  10u                  
C8      195.580  162.560  90.000   CAPC2012X145N                  10u                  
C22     153.670  184.150  270.000  CAPC2012X145N                  10u                  
C30     134.620  215.900  270.000  CAPC2012X145N                  10u                  
C14     173.990  218.440  0.000    CAPC2012X145N                  10u                  
C15     173.990  220.980  0.000    CAPC2012X145N                  10u                  
C4      195.580  186.690  0.000    CAPC2012X145N                  10u                  
C26     177.800  237.490  90.000   CAPC2012X145N                  10u                  
C25     175.260  237.490  90.000   CAPC2012X145N                  10u                  
C12     209.550  228.600  0.000    CAPC2012X145N                  10u                  
C10     196.850  226.060  0.000    CAPC2012X145N                  10u                  
C31     151.130  224.790  90.000   CAPC2012X145N                  20p                  
C27     148.590  210.820  270.000  CAPC2012X145N                  20p                  
C28     148.590  207.010  90.000   CAPC2012X145N                  20p                  
C19     163.830  181.610  270.000  CAPC2012X145N                  20p                  
C20     163.830  176.530  90.000   CAPC2012X145N                  20p                  
C21     151.130  184.150  270.000  CAPC2012X145N                  20p                  
C29     134.620  212.090  90.000   CAPC2012X145N                  20p                  
C13     173.990  223.520  0.000    CAPC2012X145N                  20p                  
C3      195.580  189.230  0.000    CAPC2012X145N                  20p                  
C7      171.450  229.870  0.000    CAPC2012X145N                  20p                  
C11     209.550  226.060  0.000    CAPC2012X145N                  20p                  
C9      196.850  223.520  0.000    CAPC2012X145N                  20p                  
C23     177.800  229.235  90.000   CAPC2012X145N                  100n                 
C24     175.260  229.235  90.000   CAPC2012X145N                  100n                 
R14     144.780  195.580  90.000   RESC2012X70N                   330R                 
R2      157.480  226.060  0.000    RESC2012X70N                   330R                 
R10     128.270  219.710  0.000    RESC2012X70N                   330R                 
R11     128.270  222.250  0.000    RESC2012X70N                   330R                 
R13     144.780  180.340  270.000  RESC2012X70N                   330R                 
R16     127.000  209.550  90.000   RESC2012X70N                   120R                 
R15     132.080  212.090  90.000   RESC2012X70N                   inf                  
R12     132.080  208.280  270.000  RESC2012X70N                   10k                  
R3      209.550  208.280  0.000    RESC2012X70N                   10k                  
R4      209.550  213.360  0.000    RESC2012X70N                   10k                  
R5      209.550  215.900  0.000    RESC2012X70N                   10k                  
R6      209.550  218.440  0.000    RESC2012X70N                   10k                  
R7      209.550  223.520  180.000  RESC2012X70N                   10k                  
R1      195.580  167.640  270.000  RESC2012X70N                   10k                  
R8      128.270  232.410  180.000  RESC2012X70N                   2k                   
R9      128.270  237.490  180.000  RESC2012X70N                   2k                   
Y1      168.910  179.070  90.000   ABLS                           ABLS-4.9152MHZ-B4-T  
Y2      142.240  210.820  90.000   ECS160205PXTR                  ECS-160-20-5PX-TR    
