Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU
1,1,865080253012,"Wurth Elektronik 470uF 10 V dc Aluminium Electrolytic Capacitor, WCAP-ASLI Series 2000h 8 (Dia.) x 10.35mm",865080253012,C1,Würth Elektronik,865080253012,440,
2,1,865080457015,"Wurth Elektronik 470uF 25 V dc Aluminium Electrolytic Capacitor, WCAP-ASLI Series 2000h 10 (Dia.) x 10.35mm",865080457015,C2,Würth Elektronik,865080457015,437,
3,1,20p,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C3,Würth Elektronik,885012107010,671,
4,1,10u,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C4,Würth Elektronik,885012107010,674,
5,1,10u,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C5,Würth Elektronik,885012107010,453,
6,1,10u,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C6,Würth Elektronik,885012107010,456,
7,1,20p,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C7,Würth Elektronik,885012107010,677,
8,1,10u,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C8,Würth Elektronik,885012107010,521,
9,1,20p,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C9,Würth Elektronik,885012107010,916,
10,1,10u,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C10,Würth Elektronik,885012107010,919,
11,1,20p,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C11,Würth Elektronik,885012107010,913,
12,1,10u,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C12,Würth Elektronik,885012107010,910,
13,1,20p,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C13,Würth Elektronik,885012107010,662,
14,1,10u,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C14,Würth Elektronik,885012107010,665,
15,1,10u,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C15,Würth Elektronik,885012107010,668,
16,1,10u,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C16,Würth Elektronik,885012107010,450,
17,1,10u,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C17,Würth Elektronik,885012107010,444,
18,1,10u,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C18,Würth Elektronik,885012107010,447,
19,1,20p,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C19,Würth Elektronik,885012107010,494,
20,1,20p,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C20,Würth Elektronik,885012107010,491,
21,1,20p,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C21,Würth Elektronik,885012107010,557,
22,1,10u,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C22,Würth Elektronik,885012107010,553,
23,1,100n,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C23,Würth Elektronik,885012107010,797,
24,1,100n,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C24,Würth Elektronik,885012107010,801,
25,1,10u,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C25,Würth Elektronik,885012107010,716,
26,1,10u,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C26,Würth Elektronik,885012107010,713,
27,1,20p,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C27,Würth Elektronik,885012107010,483,
28,1,20p,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C28,Würth Elektronik,885012107010,486,
29,1,20p,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C29,Würth Elektronik,885012107010,657,
30,1,10u,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C30,Würth Elektronik,885012107010,654,
31,1,20p,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C31,Würth Elektronik,885012107010,943,
32,1,10u,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C32,Würth Elektronik,885012107010,940,
33,1,10u,Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 10000000pF X5R0805106M010DFCT10000,885012107010,C33,Würth Elektronik,885012107010,946,
34,1,CONN_003P_000C_1,,M20-9990345,CAN_CONN1,Harwin,M20-9990345,809,
35,1,SP3031-01ETG,ESD Suppressors / TVS Diodes 5V 1uA 10kV UNIDIRECTIONAL,SP3031-01ETG,D1,LITTELFUSE,SP3031-01ETG,1165,
36,1,SP3031-01ETG,ESD Suppressors / TVS Diodes 5V 1uA 10kV UNIDIRECTIONAL,SP3031-01ETG,D2,LITTELFUSE,SP3031-01ETG,1162,
37,1,Mount,Standoffs & Spacers WA-SMST SMT Steel 3.3mm Intrnl NonStop,9774015960R,H1,Würth Elektronik,9774015960R,949,
38,1,Mount,Standoffs & Spacers WA-SMST SMT Steel 3.3mm Intrnl NonStop,9774015960R,H2,Würth Elektronik,9774015960R,951,
39,1,Mount,Standoffs & Spacers WA-SMST SMT Steel 3.3mm Intrnl NonStop,9774015960R,H3,Würth Elektronik,9774015960R,953,
40,1,MC7805ACTG,"1A, 5V, Positive V Reg, MC7805ACTG MC7805ACTG, Voltage Regulator, 2.2A 5 V, +/-4%, 3-Pin TO-220",MC7805ACTG,IC1,onsemi,MC7805ACTG,425,
41,1,SN74HC00N,"Quad 2i/p NANDgate,SN74HC00N DIP14 25pcs",SN74HC00N,IC2,Texas Instruments,SN74HC00N,115,
42,1,MAX156BCNG+,"Analog to Digital Converters - ADC High-Speed, 8-Channel, 8-Bit ADC with Simultaneous Track/Holds and Reference",MAX156BCNG+,IC3,Analog Devices,MAX156BCNG+,86,
43,1,ATMEGA162-16PU,"ATMEGA162-16PU, 8 bit AVR Microcontroller 16MHz 16 kB, 512 B Flash, 1 kB RAM, 40-Pin PDIP",ATMEGA162-16PU,IC4,Microchip,ATMEGA162-16PU,3,
44,1,SN74ALS573CN,Octal D-Type Transparent Latches With 3-State Outputs,SN74ALS573CN,IC5,Texas Instruments,SN74ALS573CN,65,
45,1,MAX233CPP+,"MAX233CPP+, Line Transceiver, EIA/TIA-232-E, RS-232, V.24, V.28 2-TX 2-RX 2-TRX, 5 V, 20-Pin PDIP",MAX233CPP+,IC6,Analog Devices,MAX233CPP+,1119,
